gold_night_tube_analysis.has_night_tube,gold_night_tube_analysis.num_records,gold_night_tube_analysis.total_passengers,gold_night_tube_analysis.avg_passengers_per_record
True,2221,28642752605,12896331.6547
False,2550,11419078407,4478069.96353
